,-9.6493,-14.9741,0.0002,-15
1770661911,-1.3964,10.0023,0.001,10
1770661912,-1.1413,10.1757,0.0015,10
1770661912,-1.501,10.4493,0.0011,10
1770661913,-1.1479,9.2479,0.0003,10
1770661914,-0.7947,9.8063,0.0013,10
1770661915,-0.7882,10.6098,0.0005,10
1770661915,-0.7947,10.4188,0.0003,10
1770661916,-0.5659,9.9639,0.0017,10
1770661917,-0.7817,9.1657,0.0025,10
1770661918,-0.592,9.9939,0.0016,10
1770661918,-0.337,9.8806,0.0032,10
1770661919,-0.8732,9.3984,0.0033,10
1770661920,-1.004,11.6364,0.0009,10
1770661920,-1.0432,11.64,0.0007,10
1770661921,-1.3506,10.9083,0.0004,10
1770661922,-1.4225,9.8705,0.0012,10
1770661923,-1.4291,9.8022,0.001,10
1770661923,-0.5986,9.8294,0.0029,10
1770661924,-0.592,9.928,0.0018,10
1770661925,-0.9321,11.1726,0.0006,10
1770661926,9.7535,12.8871,0.0129,10
1770661926,9.8189,9.4392,0.0011,-5
1770661927,9.7405,-5.1517,0.0004,-5
1770661928,9.7012,-4.3736,0.0014,-5
1770661929,9.7535,-4.9852,0.0013,-5
1770661929,9.7666,0.2431,0.0035,0
1770661930,9.7601,-0.2076,0.0002,0
1770661931,9.7666,10.0694,0.0001,10
1770661931,0.9709,9.9187,0.0002,10
1770661932,0.9121,10.0017,0.0019,10
1770661933,0.8532,10.1507,0.0008,10
1770661934,0.8336,9.9861,0.001,10
1770661934,1.0036,10.2865,0.0016,10
1770661935,1.0821,10.2605,0.0006,10
1770661936,1.0167,9.9847,0.0005,10
1770661937,1.0102,10.4552,0.001,10
1770661937,1.1606,10.1044,0.0004,10
1770661938,1.2718,9.8703,0,10
1770661939,1.2456,9.9637,0.0004,10
1770661940,1.1475,9.7828,0.0008,10
1770661940,1.1998,9.928,0.0003,10
1770661941,1.1083,9.4885,0.0012,10
1770661942,0.8467,9.4556,0.0003,10
1770661942,1.3829,9.6173,0.0002,10
1770661943,1.5399,10.2024,0.0005,10
1770661944,1.3829,10.3157,0.0005,10
1770661945,1.4614,9.7763,0.0009,10
1770661945,1.4483,9.6837,0.0009,10
1770661946,1.4418,9.8194,0.0003,10
1770661947,1.2979,9.9841,0.0002,10
1770661948,1.2456,10.2647,0.0003,10
1770661948,1.1802,10.2124,0,10
1770661949,0.9906,10.6204,0.002,10
1770661950,0.9513,10.4093,0.0001,10
1770661951,1.0952,9.828,0.0002,10
1770661951,0.8598,9.8713,0.0003,10
1770661952,0.8336,10.2458,0.0001,10
1770661953,0.9579,10.2241,0.0014,10
1770661953,0.9709,10.0325,0.0023,10
1770661954,1.1737,9.9642,0.0002,10
1770661955,1.154,9.9531,0.0001,10
1770661956,1.0102,9.8926,0.0022,10
1770661957,0.4347,10.5186,0.0061,10
1770661957,1.1867,8.7159,0.0036,10
1770661958,0.9906,10.1361,0.0022,10
1770661959,0.8271,10.141,0.0007,10
1770661959,0.657,9.9011,0.0003,10
1770661960,0.814,10.4853,0.0019,10
1770661961,0.9186,9.9164,0.0002,10
1770661962,0.9709,10.299,0.0012,10
1770661962,0.7878,9.4333,0.0011,10
1770661963,0.7617,9.9291,0.0006,10
1770661964,0.9513,9.5388,0.0002,10
1770661965,0.9382,9.9514,0.0003,10
1770661965,0.8336,9.7535,0.0017,10
1770661966,0.9775,9.8896,0.0007,10
1770661967,0.7813,9.6442,0.0013,10
1770661968,0.8401,9.8323,0.0006,10
1770661968,0.814,9.976,0.0003,10
1770661969,0.6701,9.093,0.0001,10
1770661970,0.9971,10.3539,0.0011,10
1770661971,1.0494,10.5721,0.0012,10
1770661971,1.0886,10.0588,0.0024,10
1770661972,1.1933,9.608,0.001,10
1770661973,1.0494,9.8622,0.0009,10
1770661974,1.1148,10.0025,0.0009,10
1770661974,1.069,10.0037,0.0008,10
1770661975,1.2194,9.572,0.0013,10
1770661976,1.2325,10.0254,0.0002,10
1770661977,1.2391,10.446,0.0016,10
1770661977,1.1213,10.1228,0.0005,10
1770661978,1.0102,9.7309,0.0005,10
1770661979,0.9513,9.8404,0.0004,10
1770661979,0.984,10.0159,0.0006,10
1770661980,1.0363,9.4472,0.0013,10
1770661981,1.0298,10.1864,0.0001,10
1770661982,1.141,10.32,0.0009,10
1770661982,1.2391,9.4031,0.0006,10
1770661983,-3.0313,9.5388,0.0006,10
1770661984,0.4282,10.1585,0.0021,10
1770661985,0.3955,10.0357,0.0003,10
1770661985,0.5328,10.44,0.0006,10
1770661986,0.4935,10.6084,0.0003,10
1770661987,0.4412,9.6647,0.0017,10
1770661988,0.5655,10.3133,0.0004,10
1770661988,0.4282,9.8476,0.0049,10
1770661989,0.6636,9.3379,0.0014,10
1770661990,0.5851,9.421,0.0011,10
1770661990,0.4151,9.7468,0.001,10
1770661991,0.4412,10.0326,0.0009,10
1770661992,0.4608,11.3125,0.0019,10
1770661993,0.487,10.1552,0.0015,10
1770661993,0.402,9.263,0.0015,10
1770661994,0.16,9.7487,0.0008,10
1770661995,0.16,9.5992,0.0006,10
1770661996,-0.0296,10.5465,0.0013,10
1770661996,-0.2062,10.1318,0.0012,10
1770661997,-0.2585,9.9701,0.0012,10
1770661998,-0.1016,8.4483,0.0012,10
1770661998,0.2843,10.1302,0.0002,10
1770661999,0.3955,9.8288,0.0013,10
1770662000,0.5066,10.145,0.0023,10
1770662001,0.4085,10.1,0.0019,10
1770662001,0.3431,10.0565,0,10
1770662002,0.5328,10.7573,0.0039,10
1770662003,0.814,10.277,0.002,10
1770662004,0.7355,10.3086,0.0004,10
1770662004,0.5655,9.5401,0.001,10
1770662005,0.5001,10.039,0.002,10
1770662006,0.5589,10.2176,0,10
1770662006,0.5328,9.4717,0.0006,10
1770662007,0.5001,9.8954,0.0006,10
1770662008,0.5132,10.4171,0.0025,10
1770662009,0.6374,10.1784,0.0007,10
1770662009,0.0554,10.0646,0.0008,10
1770662010,0.5197,9.4503,0.0014,10
1770662011,0.5589,10.1462,0.0008,10
1770662012,0.5851,10.101,0.0005,10
1770662012,0.3301,9.9428,0.0002,10
1770662013,-2.1223,10.1225,0.0004,10
1770662014,0.8074,9.818,0.0004,10
1770662015,0.9709,9.987,0.0001,10
1770662015,0.899,10.0321,0.0001,10
1770662016,1.0036,10.052,0.001,10
1770662017,1.069,10.0849,0.0005,10
1770662018,1.0559,10.0917,0.0003,10
1770662018,1.0886,10.9326,0.0009,10
1770662019,1.0756,9.6217,0.0011,10
1770662020,1.0363,9.8615,0.0004,10
1770662020,1.0625,10.1758,0.0009,10
1770662021,1.1344,9.7812,0.0017,10
1770662022,1.1279,9.7367,0.0011,10
1770662023,1.2456,9.6403,0.0012,10
1770662023,1.0952,10.1477,0.0008,10
1770662024,1.069,10.0346,0.0004,10
1770662025,0.8859,9.926,0.0008,10
1770662026,0.814,9.8454,0.0012,10
1770662026,0.8532,11.0306,0.0016,10
1770662027,0.8401,10.0751,0.0006,10
1770662028,0.9382,9.6672,0.0013,10
1770662029,1.0625,9.7873,0.0001,10
1770662029,0.9709,9.8288,0.0011,10
1770662030,1.1475,10.4947,0.0024,10
1770662031,1.2979,10.3907,0.0006,10
1770662031,1.2129,9.7158,0.0002,10
1770662032,1.2783,10.3319,0.0022,10
1770662033,1.1867,9.4818,0.0005,10
1770662034,1.154,9.9737,0.0004,10
1770662034,1.1737,9.9655,0,10
1770662035,1.1671,10.2678,0.0003,10
1770662036,1.0102,9.9278,0.0005,10
1770662037,1.0167,10.1695,0.0007,10
1770662037,1.0102,9.9297,0.0003,10
1770662038,1.0494,9.9759,0.0007,10
1770662039,1.0363,9.8823,0.0004,10
1770662040,0.3758,10.0335,0.0006,10
1770662040,-1.2133,9.5186,0.0058,10
1770662041,0.4805,9.3089,0.0021,10
1770662042,0.4282,9.5851,0.0006,10
1770662042,0.4543,9.5489,0.0002,10
1770662043,0.4282,10.0837,0,10
1770662044,0.4935,9.7844,0.0008,10
1770662045,0.6047,10.0518,0.0002,10
1770662045,0.5262,9.8642,0.0012,10
1770662046,0.5982,9.9323,0.0026,10
1770662047,0.5982,10.0119,0.0017,10
1770662048,0.572,9.7009,0.0015,10
1770662048,0.5655,9.8658,0.0005,10
